No,Paket,Pagu,Tipe Swakelola,Pemilihan,klpd,Satuan Kerja,Lokasi,ID
2260,Belanja Perjalanan Dinas Biasa,10528000,1,26-Apr,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pengadaan Barang dan Jasa,"Sulawesi Barat, Mamuju (Kab.)",42471160
2261,Belanja Perjalanan Dinas Biasa,1508308000,1,26-Feb,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Umum,"Sulawesi Barat, Mamuju (Kab.)",42475305
2262,Belanja Perjalanan Dinas Biasa,83252000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kepemudaan, Olahraga, Pariwisata dan Ekonomi Kreatif Daerah","Sulawesi Barat, Mamuju (Kab.)",42492438
2263,Belanja Perjalanan Dinas Biasa,68696000,1,26-Jan,Provinsi Sulawesi Barat,Dinas Lingkungan Hidup dan Kehutanan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42495842
2264,Belanja Perjalanan Dinas Biasa,91270000,1,26-Jan,Provinsi Sulawesi Barat,"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Sulawesi Barat, Mamuju (Kab.)",42504223
2265,Belanja Perjalanan Dinas Biasa,9095000,1,26-Jan,Provinsi Sulawesi Barat,"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Sulawesi Barat, Mamuju (Kab.)",42504680
2266,Belanja Perjalanan Dinas Biasa,28902000,1,26-Jan,Provinsi Sulawesi Barat,"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Sulawesi Barat, Mamuju (Kab.)",42504769
2267,Belanja Perjalanan Dinas Biasa,9928000,1,26-Jan,Provinsi Sulawesi Barat,Badan Pendapatan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42580974
2268,Belanja Perjalanan Dinas Biasa,18675000,1,26-Mar,Provinsi Sulawesi Barat,Dinas Pendidikan dan Kebudayaan Daerah,"Sulawesi Barat, Polewali Mandar (Kab.)",42592709
2269,Belanja Perjalanan Dinas Biasa,30000000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana Daerah","Sulawesi Barat, Mamuju (Kab.)",42176025
2270,Belanja Perjalanan Dinas Biasa,79424000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana Daerah","Sulawesi Barat, Mamuju (Kab.)",42183863
2271,Belanja Perjalanan Dinas Biasa,31740000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana Daerah","Sulawesi Barat, Mamuju (Kab.)",42205791
2272,Belanja Perjalanan Dinas Biasa Pameran,42975000,1,26-Jan,Provinsi Sulawesi Barat,Badan Penghubung Daerah,"DKI Jakarta, Jakarta Pusat (Kota)",42226825
2273,Belanja Perjalanan Dinas Biasa,48741000,1,26-Jan,Provinsi Sulawesi Barat,Dinas Kependudukan dan Pencatatan Sipil Daerah,"Sulawesi Barat, Mamuju (Kab.)",42306571
2274,Belanja Perjalanan Dinas Biasa,10528000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Tanaman Pangan, Hortikultura dan Peternakan Daerah","Sulawesi Barat, Mamuju (Kab.)",42061742
2275,Belanja Perjalanan Dinas Biasa,10528000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Tanaman Pangan, Hortikultura dan Peternakan Daerah","Sulawesi Barat, Mamuju (Kab.)",42061748
2276,Belanja Perjalanan Dinas Biasa (Kabupaten / Kota),30384000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Hukum,"Sulawesi Barat, Mamuju (Kab.)",42353795
2277,Belanja Perjalanan Dinas Biasa,109654496,1,26-Jan,Provinsi Sulawesi Barat,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Daerah,"Sulawesi Barat, Mamuju (Kab.)",42349912
2278,Belanja Perjalanan Dinas Biasa,10978000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Komunikasi, Informatika, Statistik dan Persandian Daerah","Sulawesi Barat, Mamuju (Kab.)",42772215
2279,Belanja Perjalanan Dinas Biasa,32729000,1,26-Feb,Provinsi Sulawesi Barat,Dinas Pangan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42991890
2280,Belanja Perjalanan Dinas Biasa,25746000,1,26-Feb,Provinsi Sulawesi Barat,Dinas Perkebunan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42370770
2281,Belanja Perjalanan Dinas Biasa,39504000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat DPRD,"Sulawesi Barat, Mamuju (Kab.)",42378928
2282,Belanja Perjalanan Dinas Biasa,1160520000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat DPRD,"Sulawesi Barat, Mamuju (Kab.)",42415990
2283,Belanja Perjalanan Dinas Biasa,46802000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Perumahan Rakyat, Kawasan Permukiman, Pertanahan dan Perhubungan Daerah","Sulawesi Barat, Mamuju (Kab.)",42431806
2284,Belanja Perjalanan Dinas Biasa Pengelolaan Administrasi Kebijakan Pemerintahan,34088000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pemerintahan dan Kesejahteraan Rakyat,"Sulawesi Barat, Mamuju (Kab.)",42454523
2285,Belanja Perjalanan Dinas Biasa,20456000,1,26-Apr,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pengadaan Barang dan Jasa,"Sulawesi Barat, Mamuju (Kab.)",42471125
2286,Belanja Perjalanan Dinas Biasa,61860000,1,26-Feb,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Umum,"Sulawesi Barat, Mamuju (Kab.)",42477035
2287,Belanja Perjalanan Dinas Biasa,14495000,1,26-Mar,Provinsi Sulawesi Barat,Satuan Polisi Pamong Praja dan Pemadam Kebakaran Daerah,"Sulawesi Barat, Mamuju (Kab.)",42478324
2288,Belanja Perjalanan Dinas Biasa,374440000,1,26-Jan,Provinsi Sulawesi Barat,Badan Pengelolaan Keuangan dan Aset Daerah,"Sulawesi Barat, Mamuju (Kab.)",42506314
2289,Belanja Perjalanan Dinas Biasa,78355000,1,26-Feb,Provinsi Sulawesi Barat,Dinas Pekerjaan Umum dan Penataan Ruang Daerah,"Sulawesi Barat, Mamuju (Kab.)",42516016
2290,Belanja Perjalanan Dinas Biasa - Kegiatan Pekan Sastra,21038000,1,26-Apr,Provinsi Sulawesi Barat,Dinas Pendidikan dan Kebudayaan Daerah,"Sulawesi Barat, Polewali Mandar (Kab.)",42592524
2291,Belanja Perjalanan Dinas Biasa (Rapat-Rapat Koordinasi Keluar Daerah),99387000,1,26-Feb,Provinsi Sulawesi Barat,Dinas Pendidikan dan Kebudayaan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42592896
2292,Belanja Perjalanan Dinas Biasa,20456000,1,26-Jan,Provinsi Sulawesi Barat,Badan Pendapatan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42595133
2293,Belanja Perjalanan Dinas Biasa Komisi Informasi Publik,21056000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Komunikasi, Informatika, Statistik dan Persandian Daerah","Sulawesi Barat, Mamuju (Kab.)",41915660
2294,Belanja Perjalanan Dinas Biasa,168448000,1,26-Apr,Provinsi Sulawesi Barat,Inspektorat Daerah,"Sulawesi Barat, Mamuju (Kab.)",42091502
2295,Belanja Perjalanan Dinas Biasa,9095000,1,26-Apr,Provinsi Sulawesi Barat,Dinas Kependudukan dan Pencatatan Sipil Daerah,"Sulawesi Barat, Mamuju (Kab.)",42307030
2296,Belanja Perjalanan Dinas Biasa,108220000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana Daerah","Sulawesi Barat, Mamuju (Kab.)",42184147
2297,Belanja Perjalanan Dinas Biasa Pelayanan Penghubung,34380000,1,26-Jan,Provinsi Sulawesi Barat,Badan Penghubung Daerah,"DKI Jakarta, Jakarta Pusat (Kota)",42251250
2298,Belanja Perjalanan Dinas Biasa,52570000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Tanaman Pangan, Hortikultura dan Peternakan Daerah","Sulawesi Barat, Mamuju (Kab.)",42061876
2299,Belanja Perjalanan Dinas Biasa Fasilitas Kerjasama Antar Pemerintah,22900000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pemerintahan dan Kesejahteraan Rakyat,"Sulawesi Barat, Mamuju (Kab.)",42411043
2300,Belanja Perjalanan Dinas Biasa (Penyelenggaraan Rakor SKPD),33329000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Hukum,"Sulawesi Barat, Mamuju (Kab.)",42425997
2301,Belanja Perjalanan Dinas Biasa,24000000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Tanaman Pangan, Hortikultura dan Peternakan Daerah","Sulawesi Barat, Mamuju (Kab.)",42061937
2302,Belanja Perjalanan Dinas Biasa Keg. Pendidikan Dan Pelatihan,600000,1,26-Jan,Provinsi Sulawesi Barat,Badan Penghubung Daerah,"DKI Jakarta, Jakarta Pusat (Kota)",42250996
2303,Belanja Perjalanan Dinas Biasa,50263000,1,26-Jan,Provinsi Sulawesi Barat,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Daerah,"Sulawesi Barat, Mamuju (Kab.)",42353410
2304,Belanja Perjalanan Dinas Biasa,8595000,1,26-Jan,Provinsi Sulawesi Barat,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Daerah,"Sulawesi Barat, Mamuju (Kab.)",42353706
2305,Belanja Perjalanan Dinas Biasa (Naskah Hukum Lainnya),9928000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Hukum,"Sulawesi Barat, Mamuju (Kab.)",42354200
2306,Belanja Perjalanan Dinas Biasa,9928000,1,26-Feb,Provinsi Sulawesi Barat,Dinas Pekerjaan Umum dan Penataan Ruang Daerah,"Sulawesi Barat, Polewali Mandar (Kab.)",42357371
2307,Belanja Perjalanan Dinas Biasa,9000000,1,26-Jan,Provinsi Sulawesi Barat,Dinas Transmigrasi dan Tenaga Kerja Daerah,"Sulawesi Barat, Mamuju (Kab.)",42376129
2308,Belanja Perjalanan Dinas Biasa Fasilitas Kerjasama Antar Pemerintah,22900000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pemerintahan dan Kesejahteraan Rakyat,"Sulawesi Barat, Mamuju (Kab.)",42411043
2309,Belanja Perjalanan Dinas Biasa (Penyelenggaraan Rakor SKPD),33329000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Hukum,"Sulawesi Barat, Mamuju (Kab.)",42425997
2310,Belanja Perjalanan Dinas Biasa,8595000,1,26-Jan,Provinsi Sulawesi Barat,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Daerah,"Sulawesi Barat, Mamuju (Kab.)",42427396
2311,Belanja Perjalanan Dinas Biasa,45858000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Sosial, Pemberdayaan Perempuan dan Perlindungan Anak serta Pemberdayaan Masyarakat dan Desa Daerah","Sulawesi Barat, Mamuju (Kab.)",42434290
2312,Belanja Perjalanan Dinas Biasa,29168000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Sosial, Pemberdayaan Perempuan dan Perlindungan Anak serta Pemberdayaan Masyarakat dan Desa Daerah","Sulawesi Barat, Mamuju (Kab.)",42436867
2313,Belanja Perjalanan Dinas Biasa,26785000,1,26-Feb,Provinsi Sulawesi Barat,"Dinas Kepemudaan, Olahraga, Pariwisata dan Ekonomi Kreatif Daerah","Sulawesi Barat, Mamuju (Kab.)",42488545
2314,Belanja Perjalanan Dinas Biasa,99540000,1,26-Jan,Provinsi Sulawesi Barat,"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Sulawesi Barat, Mamuju (Kab.)",42504626
2315,Belanja Perjalanan Dinas Biasa,11712000,1,26-Jan,Provinsi Sulawesi Barat,"Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah","Sulawesi Barat, Mamuju (Kab.)",42504810
2316,Belanja Perjalanan Dinas Biasa,152208000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Dewan Perwakilan Rakyat Daerah,"Sulawesi Barat, Mamuju (Kab.)",42658163
2317,Belanja Perjalanan Dinas Biasa,30384000,1,26-Apr,Provinsi Sulawesi Barat,Inspektorat Daerah,"Sulawesi Barat, Mamuju (Kab.)",42096249
2318,Belanja Perjalanan Dinas Biasa - Pada Sub Kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD,80194000,1,26-Jan,Provinsi Sulawesi Barat,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Daerah,"Sulawesi Barat, Mamuju (Kab.)",42082806
2319,Belanja Perjalanan Dinas Biasa Penyediaan Layanan Keamanan Informasi Pemerintah Daerah Provinsi,10528000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Komunikasi, Informatika, Statistik dan Persandian Daerah","Sulawesi Barat, Mamuju (Kab.)",41915810
2320,Belanja Perjalanan Dinas Biasa,15850000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana Daerah","Sulawesi Barat, Mamuju (Kab.)",42281771
2321,Belanja Perjalanan Dinas Biasa,23401000,1,26-Jan,Provinsi Sulawesi Barat,Badan Kesatuan Bangsa dan Politik Daerah,"Sulawesi Barat, Mamuju (Kab.)",42305783
2322,Belanja Perjalanan Dinas Biasa,46802000,1,26-Jan,Provinsi Sulawesi Barat,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Daerah,"Sulawesi Barat, Mamuju (Kab.)",42352918
2323,Belanja Perjalanan Dinas Biasa,33845000,1,26-Feb,Provinsi Sulawesi Barat,Dinas Perkebunan Daerah,"Sulawesi Barat, Mamuju (Kab.)",42370156
2324,Belanja Perjalanan Dinas Biasa,9000000,1,26-Jan,Provinsi Sulawesi Barat,Dinas Transmigrasi dan Tenaga Kerja Daerah,"Sulawesi Barat, Mamuju (Kab.)",42375491
2325,Belanja Perjalanan Dinas Biasa,33564000,1,26-Jan,Provinsi Sulawesi Barat,Dinas Transmigrasi dan Tenaga Kerja Daerah,"Sulawesi Barat, Mamuju (Kab.)",42376000
2326,Belanja Perjalanan Dinas Biasa,621705000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat DPRD,"Sulawesi Barat, Mamuju (Kab.)",42379214
2327,Belanja Perjalanan Dinas Biasa,74971000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat DPRD,"Sulawesi Barat, Mamuju (Kab.)",42379813
2328,Belanja Perjalanan Dinas Biasa,152208000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat DPRD,"Sulawesi Barat, Mamuju (Kab.)",42380698
2329,Belanja Perjalanan Dinas Biasa Fasilitas Penataan Wilayah,30384000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pemerintahan dan Kesejahteraan Rakyat,"Sulawesi Barat, Mamuju (Kab.)",42410648
2330,Belanja Perjalanan Dinas Biasa,9928000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Perumahan Rakyat, Kawasan Permukiman, Pertanahan dan Perhubungan Daerah","Sulawesi Barat, Mamuju (Kab.)",42433530
2331,Belanja Perjalanan Dinas Biasa,55530000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kepemudaan, Olahraga, Pariwisata dan Ekonomi Kreatif Daerah","Sulawesi Barat, Mamuju (Kab.)",42475123
2332,Belanja Perjalanan Dinas Biasa,19856000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kepemudaan, Olahraga, Pariwisata dan Ekonomi Kreatif Daerah","Sulawesi Barat, Mamuju (Kab.)",42491345
2333,Belanja Perjalanan Dinas Biasa,21056000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Kepemudaan, Olahraga, Pariwisata dan Ekonomi Kreatif Daerah","Sulawesi Barat, Mamuju (Kab.)",42491488
2334,Belanja Perjalanan Dinas Biasa,46202000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Koperasi dan UKM, Perindustrian dan Perdagangan Daerah","Sulawesi Barat, Mamuju (Kab.)",42494846
2335,Belanja Perjalanan Dinas Biasa,25785000,1,26-Jan,Provinsi Sulawesi Barat,"Dinas Koperasi dan UKM, Perindustrian dan Perdagangan Daerah","Sulawesi Barat, Mamuju (Kab.)",42495720
2336,Belanja Perjalanan Dinas Biasa,9095000,1,26-Mar,Provinsi Sulawesi Barat,Dinas Perkebunan Daerah,"Sulawesi Barat, Polewali Mandar (Kab.)",42515286
2337,Belanja Perjalanan Dinas Biasa Fasilitas Kelembagaan Bina Spiritual,171409000,1,26-Jan,Provinsi Sulawesi Barat,Sekretariat Daerah Biro Pemerintahan dan Kesejahteraan Rakyat,"Sulawesi Barat, Mamuju (Kab.)",42562610
2338,Belanja Perjalanan Dinas Biasa,369252000,1,26-Feb,Provinsi Riau,BADAN PERENCANAAN PEMBANGUNAN DAERAH,"Riau, Pekanbaru (Kota)",42838036
2339,Belanja Perjalanan Dinas Biasa,48630000,1,26-Jan,Provinsi Riau,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK","Riau, Pekanbaru (Kota)",42843922
2340,Belanja Perjalanan Dinas Biasa,96540000,1,26-Feb,Provinsi Riau,BADAN KEPEGAWAIAN DAERAH,"Riau, Pekanbaru (Kota)",42847705
2341,Belanja Perjalanan Dinas Biasa,499596000,1,26-Jan,Provinsi Riau,BADAN PERENCANAAN PEMBANGUNAN DAERAH,"Riau, Pekanbaru (Kota)",42861142
2342,Belanja Perjalanan Dinas Biasa,91755000,1,26-Jan,Provinsi Riau,DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,"Riau, Pekanbaru (Kota)",42879453
2343,Belanja Perjalanan Dinas Biasa,8170000,1,26-Feb,Provinsi Riau,UPT. KESATUAN PENGELOLAAN HUTAN INDRAGIRI,"Riau, Indragiri Hulu (Kab.)",42893154
2344,Belanja Perjalanan Dinas Biasa,7304000,1,26-Jan,Provinsi Riau,DINAS TENAGA KERJA DAN TRANSMIGRASI,"Riau, Pekanbaru (Kota)",43011605
2345,Belanja Perjalanan Dinas Biasa,20100000,1,26-Jan,Provinsi Riau,DINAS TENAGA KERJA DAN TRANSMIGRASI,"Riau, Pekanbaru (Kota)",43011608
2346,Belanja Perjalanan Dinas Biasa,577019000,1,26-Jan,Provinsi Riau,"DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH","Riau, Pekanbaru (Kota)",42026008
2347,Belanja Perjalanan Biasa,123554000,1,26-Jan,Provinsi Riau,DINAS PETERNAKAN DAN KESEHATAN HEWAN,"Riau, Pekanbaru (Kota)",42362197
2348,Belanja Perjalanan Dinas Biasa,24906000,1,26-May,Provinsi Riau,DINAS PARIWISATA,"Riau, Pekanbaru (Kota)",42263288
2349,Belanja Perjalanan Dinas Biasa,24906000,1,26-Jun,Provinsi Riau,DINAS PARIWISATA,"Riau, Pekanbaru (Kota)",42263608
2350,Belanja Perjalanan Dinas Biasa,25325000,1,26-Jan,Provinsi Riau,UPT. KESATUAN PENGELOLAAN HUTAN TASIK BESAR,"Riau, Pekanbaru (Kota)",42115104
2351,Belanja Perjalanan Dinas Biasa,20220000,1,26-Jan,Provinsi Riau,BADAN KESATUAN BANGSA DAN POLITIK,"Riau, Bengkalis (Kab.) | Riau, Kampar (Kab.) | Riau, Dumai (Kota)",41417586
2352,Belanja Perjalanan Dinas Biasa,26070000,1,26-Feb,Provinsi Riau,DINAS KEBUDAYAAN,"Riau, Pekanbaru (Kota)",43288470
2353,Belanja Perjalanan Dinas Biasa,2316280000,1,26-Jan,Provinsi Riau,SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH,"Riau, Pekanbaru (Kota)",41815522
2354,Belanja Perjalanan Dinas Biasa,9032000000,1,26-Jan,Provinsi Riau,SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH,"Riau, Pekanbaru (Kota)",41815797
2355,Belanja Perjalanan Dinas Biasa,2100786000,1,26-Jan,Provinsi Riau,SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH,"Riau, Pekanbaru (Kota)",41815880
2356,Belanja Perjalanan Dinas Biasa Verifikasi Teknis,37660000,1,26-Jan,Provinsi Riau,"DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH","Riau, Pekanbaru (Kota)",41816059
