No,Paket,Pagu,Tipe Swakelola,Pemilihan,klpd,Satuan Kerja,Lokasi,ID
101,Belanja Perjalanan Dinas Biasa,900000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota)",42749974
102,Belanja Perjalanan Dinas Biasa - laporan keuangan,27600000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42824125
103,Belanja Perjalanan Dinas Biasa - EVALUASI SAKIP PERANGKAT DAERAH DAN KAB/KOTA,126030000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42829915
104,Belanja Perjalanan Dinas Biasa - TLHP Inspektorat Provinsi Sumatera Utara terhadap Pemerintah Kabupaten/Kota,702860000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830735
105,Belanja Perjalanan Dinas Biasa - TLHP Inspektorat Provinsi Sumatera Utara terhadap Perangkat Daerah dan BUMD,75000000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830824
106,Belanja Perjalanan Dinas Dalam Negeri Kegiatan Pengawasan Kode Etik DPRD,1080727000,1,26-Jan,Provinsi Sumatera Utara,Sekretariat DPRD,"Sumatera Utara, Medan (Kota)",42901406
107,Belanja Perjalanan Dinas Biasa,6750000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota)",43043988
108,Belanja Perjalanan Dinas Biasa,301092000,1,26-Jan,Provinsi Sumatera Utara,Biro Perekonomian,"Sumatera Utara, Medan (Kota)",43054317
109,Belanja Perjalanan Dinas Biasa sub kegiatan Pembinaan Perpustakaan pada Satuan Pendidikan Menengah dan Pendidikan Khusus di Seluruh Wilayah Provinsi sesuai dengan Standar Nasional Perpustakaan,73200000,1,26-Mar,Provinsi Sumatera Utara,Dinas Perpustakaan dan Arsip,"Sumatera Utara, Medan (Kota)",43064289
110,Belanja Perjalanan Dinas Biasa,292066000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43181373
111,Belanja Perjalanan Dinas Biasa,208816000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43181389
112,Belanja perjalanan dinas paket meeting luar kota,21117000,1,26-Mar,Provinsi Sumatera Utara,Badan Penghubung,"DI Yogyakarta, Yogyakarta (Kota)",43192742
113,Belanja Perjalanan Dinas Biasa Pendapingan BLUD,75348000,1,26-Jan,Provinsi Sumatera Utara,UPTD Khusus Rumah Sakit Umum Haji Medan,"Sumatera Utara, Deli Serdang (Kab.)",43210040
114,Belanja Perjalanan Dinas Biasa sub kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD,339199000,1,26-Jan,Provinsi Sumatera Utara,Dinas Perpustakaan dan Arsip,"Sumatera Utara, Medan (Kota)",43243624
115,Belanja Perjalanan Dinas Biasa,15550000,1,26-Apr,Provinsi Sumatera Utara,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga Berencana","Sumatera Utara, Medan (Kota)",43255047
116,Belanja Perjalanan Dinas Biasa,234111000,1,26-Mar,Provinsi Sumatera Utara,Badan Kesatuan Bangsa dan Politik,"Sumatera Utara, Medan (Kota)",43255855
117,Belanja Perjalanan Dinas Biasa,152311000,1,26-Jan,Provinsi Sumatera Utara,Dinas Kesehatan,"Sumatera Utara, Medan (Kota)",43173052
118,Belanja Perjalanan Dinas Biasa,147567000,1,26-Jan,Provinsi Sumatera Utara,Biro Perekonomian,"Sumatera Utara, Medan (Kota)",43177230
119,Belanja Perjalanan Dinas Biasa,135078000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43181402
120,Belanja Perjalanan Dinas Biasa - Pengembangan Bisnis Berbasis Potensi Desa Koperasi Desa/Kelurahan Merah Putih,100440000,1,26-Feb,Provinsi Sumatera Utara,Dinas Koperasi dan Usaha Kecil Menengah,"Sumatera Utara, Medan (Kota)",43260395
121,Belanja Perjalanan Dinas Biasa,100308000,1,26-Jan,Provinsi Sumatera Utara,Biro Organisasi,"Sumatera Utara, Medan (Kota)",43269599
122,Belanja Perjalanan Dinas Biasa,362008000,1,26-Jan,Provinsi Sumatera Utara,Biro Organisasi,"Sumatera Utara, Medan (Kota)",43269602
123,Belanja Perjalanan Dinas Biasa Kebijakan Kesejahteraan Rakyat Bidang Sosial,152364000,1,26-Jan,Provinsi Sumatera Utara,Biro Kesejahteraan Rakyat,"Sumatera Utara, Medan (Kota)",43270622
124,Belanja Perjalanan Dinas Paket Meeting Luar Kota,54625000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43270756
125,Belanja Perjalanan Dinas Biasa,162252000,1,26-Feb,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43272236
126,Belanja Perjalanan Dinas Biasa,74600000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Medan (Kota)",43273351
127,Belanja Perjalanan Dinas Biasa,173821000,1,26-Jan,Provinsi Sumatera Utara,Badan Kesatuan Bangsa dan Politik,"Sumatera Utara, Medan (Kota)",43247466
128,Belanja Perjalanan Dinas Dalam Kota,5400000,1,26-Mar,Provinsi Sumatera Utara,Satuan Polisi Pamong Praja,"Sumatera Utara, Medan (Kota)",43240305
129,Belanja Perjalanan Dinas Biasa,40978000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",42374586
130,Belanja Perjalanan Dinas Biasa,76250000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",42481214
131,Belanja Perjalanan Dinas Biasa,166939000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",42481892
132,Belanja Perjalanan Dinas Biasa,188493000,1,26-Jan,Provinsi Sumatera Utara,Biro Hukum,"Sumatera Utara, Medan (Kota)",42491954
133,Belanja Perjalanan Dinas Biasa,198784000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan","Sumatera Utara, Medan (Kota)",42536687
134,Belanja Perjalanan Dinas Biasa,30000000,1,26-Jan,Provinsi Sumatera Utara,Dinas Komunikasi dan Informatika,"Sumatera Utara, Medan (Kota)",42570467
135,Belanja Perjalanan Dinas Paket Meeting Dalam Kota (Penyusunan Dokumen Perencanaan),2280000,1,26-Jan,Provinsi Sumatera Utara,UPTD Khusus Rumah Sakit Jiwa Prof. Dr. M. Ildrem,"Sumatera Utara, Medan (Kota)",42585033
136,Belanja Perjalanan Dinas Biasa,41610000,1,26-Jan,Provinsi Sumatera Utara,Dinas Komunikasi dan Informatika,"Sumatera Utara, Medan (Kota)",42668957
137,Belanja Perjalanan Dinas Biasa,465602000,1,26-Jan,Provinsi Sumatera Utara,Dinas Kesehatan,"Sumatera Utara, Medan (Kota)",42738387
138,Belanja Perjalanan Dinas Biasa,330162000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota) | Sumatera Utara, Deli Serdang (Kab.) | Sumatera Utara, Pematang Siantar (Kota) | Sumatera Utara, Labuhan Batu (Kab.) | Sumatera Utara, Padang Sidempuan (Kota) | Sumatera Utara, Sibolga (Kota) | Sumatera Utara, Simalungun (Kab.)",42748878
139,Belanja Perjalanan Dinas Biasa - Koordinasi Penyusunan Dokumen Perencanaan,20250000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42818309
140,Belanja Perjalanan Dinas Biasa - perjalanan dinas,7200000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42824578
141,Belanja Perjalanan Dinas Biasa - Perjalanan Dinas Narasumber,29144000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42828028
142,Belanja Perjalanan Dinas Biasa - MONITORING DAN EVALUASI KINERJA PENYELENGGARAAN PEMDA KAB/KOTA,777216000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830257
143,Belanja Perjalanan Dinas Biasa - PEMBINAAN PENGELOLAAN KEUANGAN INSPEKTORAT KAB/KOTA BERBASIS FUNGSIONAL,158726000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830345
144,Belanja Perjalanan Dinas Biasa - TLHP BPK-RI,45000000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830539
145,Belanja Perjalanan Dinas Biasa - TLHP Inspektorat Provinsi Sumatera Utara terhadap Pengelolaan Keuangan Desa,232300000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830793
146,Belanja Perjalanan Dinas Biasa - Monitoring dan Evaluasi Program Pencegahan Korupsi,322182000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42831860
147,Belanja Perjalanan Dinas Biasa,22500000,1,26-Jan,Provinsi Sumatera Utara,UPTD Rumah Sakit Khusus Mata,"Sumatera Utara, Medan (Kota)",42846175
148,Belanja Perjalanan Dinas Dalam Negeri Kegiatan Pembahasan Pertanggungjawaban APBD,1477474000,1,26-Jun,Provinsi Sumatera Utara,Sekretariat DPRD,"Sumatera Utara, Medan (Kota)",42899940
149,Belanja Perjalanan Dinas Biasa,5901000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota)",43018441
150,Belanja Perjalanan Dinas Biasa,11120000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43274944
151,Belanja Perjalanan Dinas Biasa- PENGEMBANGAN BUDIDAYA CABAI MERAH,594896000,1,26-Feb,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43274951
152,Belanja Perjalanan Dinas Biasa (Kegiatan Kelembagaan Keamanan dan Mutu PSAT) UPTD PTPH dan PMKP,17392000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43275156
153,Belanja Perjalanan Dinas Paket Meeting Dalam Kota (Uang Harian Kegiatan) UPTD PTPH dan PMKP,5200000,1,26-May,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43275185
154,Belanja perjalanan dinas biasa,166092000,1,26-Jan,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Karo (Kab.)",43275445
155,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1850000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43276013
156,Belanja Perjalanan Dinas Biasa,142270000,1,26-Feb,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43276137
157,Belanja Perjalanan Dinas Biasa,17709000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43276212
158,Belanja Perjalanan Dinas Biasa,84238000,1,26-Jan,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43276336
159,Belanja Perjalanan Dinas Biasa,43118000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43276967
160,Perjalanan Dinas Biasa,76122000,1,26-Jan,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43277698
161,Belanja Perjalanan Dinas Biasa,220000,1,26-Apr,Provinsi Sumatera Utara,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga Berencana","Sumatera Utara, Medan (Kota)",43278068
162,Belanja Perjalanan Dinas Biasa,145465000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Medan (Kota)",43279095
163,Belanja Perjalanan Dinas Biasa Penelitian dan Pengembangan Pendidikan dan Kebudayaan,38084000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43282077
164,Belanja Perjalanan Dinas Biasa Penelitian dan Pengembangan Pariwisata,37176000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43282477
165,Belanja Perjalanan Dinas Biasa  - Fasilitasi dan pembinaan untuk peningkatan perlindungan dan  pemanfaatan kekayaan intelektual,19839000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43286444
166,Belanja Perjalanan Dinas Biasa (BID.II),57836000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Pemberdayaan Masyarakat dan Desa, Kependudukan dan Catatan Sipil","Sumatera Utara, Medan (Kota)",43286628
167,Belanja Perjalanan Dinas Biasa,55770000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43288213
168,Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),5506000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Labuhan Batu (Kab.)",43290744
169,Belanja Perjalanan Dinas Biasa (Cabang Dinas V),32885000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Padang Sidempuan (Kota)",43297022
170,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,161760000,1,26-Jan,Provinsi Sumatera Utara,Badan Keuangan dan Aset Daerah,"Sumatera Utara, Medan (Kota)",43302345
171,"Belanja Perjalanan Dinas Partisipasi Dalam Pendukungan Event Kab/Kota, Komunitas, Stakeholder Pariwisata Kementerian Dan Lembaga",59468000,1,26-Jul,Provinsi Sumatera Utara,"Dinas Kebudayaan, Pariwisata dan Ekonomi Kreatif","Sumatera Utara, Medan (Kota)",43320532
172,Belanja Perjalanan Dinas Dalam Kota,3750000,1,26-May,Provinsi Sumatera Utara,Dinas Kepemudaan dan Keolahragaan,"Sumatera Utara, Medan (Kota)",43329315
173,Belanja Perjalanan Dinas Biasa,39900000,1,26-Jan,Provinsi Sumatera Utara,Satuan Polisi Pamong Praja,"Sumatera Utara, Medan (Kota)",43246493
174,Belanja Perjalanan Dinas Biasa,128176000,1,26-Jan,Provinsi Sumatera Utara,Badan Kesatuan Bangsa dan Politik,"Sumatera Utara, Medan (Kota)",43255226
175,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,4750000,1,26-Apr,Provinsi Sumatera Utara,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga Berencana","Sumatera Utara, Medan (Kota)",43256000
176,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,26243000,1,26-Apr,Provinsi Sumatera Utara,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga Berencana","Sumatera Utara, Medan (Kota)",43266942
177,Belanja Perjalanan Dinas,27320000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43271998
178,Belanja Perjalanan Dinas Dalam Kota,10000000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Medan (Kota)",43273358
179,Belanja Perjalanan Dinas Biasa,35700000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga Berencana","Sumatera Utara, Medan (Kota)",43274811
180,Belanja Perjalanan Dinas Biasa- PENGEMBANGAN BUDIDAYA BAWANG MERAH,599550000,1,26-Feb,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43274946
181,"Belanja Perjalanan Dinas Biasa (Perjalanan dalam Rangka Survailen, Pengambilan Sampel, Registrasi dan Pengawasan PSAT) UPTD PTPH dan PMKP",39726000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43275758
182,Uang Harian Perjalanan Dinas Dalam Negeri - Dalam Kota -  Sumatera Utara,1350000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43275905
183,Belanja Perjalanan Dinas Biasa,431502000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43275947
184,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,3330000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43276038
185,"Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara",4194000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43276041
186,Belanja Perjalanan Dinas Paket Meeting Dalam Kota ( Petugas Pendamping Pelaksanaan Kegiatan Gerdal) UPTD PTPH dan PMKP,19500000,1,26-Mar,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43276310
187,Perjalanan Dinas Biasa,72637400,1,26-Jan,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43277679
188,Perjalanan Dinas Biasa,47916000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43277690
189,Belanja Perjalanan Dinas Biasa,303691000,1,26-Jan,Provinsi Sumatera Utara,Dinas Kesehatan,"Sumatera Utara, Medan (Kota)",43278868
190,Belanja Perjalanan Dinas Biasa (Cabang Dinas I),3890000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Deli Serdang (Kab.)",43281711
191,Belanja Perjalanan Dinas Biasa  (PSD 6 ) LIGA BOLA VOLI PELAJAR PIALA GUBERNUR PROVINSI SUMATERA UTARA,45000000,1,26-Apr,Provinsi Sumatera Utara,Dinas Kepemudaan dan Keolahragaan,"Sumatera Utara, Medan (Kota)",43336572
192,Belanja Perjalanan Dinas Biasa,443058000,1,26-Jan,Provinsi Sumatera Utara,Satuan Polisi Pamong Praja,"Sumatera Utara, Medan (Kota)",43240464
193,Belanja Perjalanan Dinas Biasa (Bumdes),201884000,1,26-Feb,Provinsi Sumatera Utara,"Dinas Pemberdayaan Masyarakat dan Desa, Kependudukan dan Catatan Sipil","Sumatera Utara, Medan (Kota)",43241934
194,Belanja Perjalanan Dinas Biasa (Pemdes),396202000,1,26-Feb,Provinsi Sumatera Utara,"Dinas Pemberdayaan Masyarakat dan Desa, Kependudukan dan Catatan Sipil","Sumatera Utara, Medan (Kota)",43242064
195,Belanja Perjalanan Dinas Biasa (Penyediaan Data Kependudukan ),36021000,1,26-Feb,Provinsi Sumatera Utara,"Dinas Pemberdayaan Masyarakat dan Desa, Kependudukan dan Catatan Sipil","Sumatera Utara, Medan (Kota)",43243941
196,Belanja Perjalanan Dinas Biasa,561045000,1,26-Jan,Provinsi Sumatera Utara,Badan Kepegawaian,"Sumatera Utara, Medan (Kota)",43318746
197,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,181980000,1,26-Jan,Provinsi Sumatera Utara,Badan Keuangan dan Aset Daerah,"Sumatera Utara, Medan (Kota)",43303322
198,Belanja Perjalanan Dinas Kegiatan Pembinaan dan Pengawasan Izin Lingkungan dan Izin PPLH yang diterbitkan oleh Pemerintah Daerah Provinsi pada Dinas Lingkungan Hidup dan Kehutanan Provsu,18003705,1,26-Jan,Provinsi Sumatera Utara,Dinas Lingkungan Hidup dan Kehutanan,"Sumatera Utara, Medan (Kota)",43303940
199,Belanja Perjalanan Dinas Biasa (Cabang Dinas III),9475800,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Pematang Siantar (Kota)",43288694
200,Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),51802000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Labuhan Batu (Kab.)",43291943
1001,Belanja Perjalanan Dinas Biasa,12600000,1,26-Feb,Provinsi Sulawesi Tengah,UPT Wil. IX Tojo Una-Una,"Sulawesi Tengah, Tojo Una-Una (Kab.)",42986309
1002,Belanja Perjalanan Dinas Biasa,1050000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43003229
1003,Belanja Perjalanan Dinas Biasa,88324000,1,26-Mar,Provinsi Sulawesi Tengah,UPTD Pengawasan Mutu dan Sertikfikasi Benih Perkebunan,"Sulawesi Tengah, Palu (Kota)",43005558
1004,Belanja Perjalanan Dinas Biasa,152492000,1,26-Mar,Provinsi Sulawesi Tengah,Badan Penanggulangan Bencana Daerah Provinsi Tengah,"Sulawesi Tengah, Buol (Kab.) | Sulawesi Tengah, Toli-Toli (Kab.) | Sulawesi Tengah, Tojo Una-Una (Kab.) | Sulawesi Tengah, Parigi Moutong (Kab.)",43006494
1005,Belanja Perjalanan Dinas Biasa,53584000,4,26-Mar,Provinsi Sulawesi Tengah,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43068464
1006,Belanja Perjalanan Dinas Biasa,2676000,1,26-Mar,Provinsi Sulawesi Tengah,Cabang Dinas Energi dan Sumber Daya Mineral Wilayah IV,"Sulawesi Tengah, Banggai (Kab.)",43071108
1007,"Belanja Perjalanan Dinas Biasa Pada Sub Kegiatan Rekonsiliasi dan Verifikasi Aset, Kewajiban, Ekuitas, Pendapatan, Belanja, Pembiayaan, Pendapatan-LO, dan Beban",301902000,1,26-May,Provinsi Sulawesi Tengah,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43052688
1008,Belanja Perjalanan Dinas Biasa Pada Sub Kegiatan Pengamanan Barang Milik Daerah,194778000,1,26-May,Provinsi Sulawesi Tengah,Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43054586
1009,Belanja Perjalanan Dinas Biasa,14804000,1,26-May,Provinsi Sulawesi Tengah,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43058433
1010,Belanja Perjalanan Dinas Biasa,28381000,1,26-Feb,Provinsi Sulawesi Tengah,Badan Perencanaan Pembangunan Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43093370
1011,Belanja Perjalanan Dinas Biasa,14500000,1,26-Apr,Provinsi Sulawesi Tengah,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai (Kab.)",43098380
1012,Belanja Perjalanan Dinas Biasa,200000000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Perkebunan dan Peternakan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43015578
1013,Belanja Perjalanan Dinas Biasa,55474000,1,26-Apr,Provinsi Sulawesi Tengah,Dinas Perkebunan dan Peternakan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43015824
1014,Belanja Perjalanan Dinas Biasa,2250000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",43018330
1015,Belanja Perjalanan Dinas Biasa,1960000,1,26-Mar,Provinsi Sulawesi Tengah,Cabang Dinas Energi dan Sumber Daya Mineral Wilayah II,"Sulawesi Tengah, Poso (Kab.)",43025863
1016,Belanja Perjalanan Dinas Biasa,14400000,1,26-Apr,Provinsi Sulawesi Tengah,UPT Panti Sosial Anak,"Sulawesi Tengah, Palu (Kota)",43030063
1017,Belanja Perjalanan Dinas Biasa,523200000,1,26-Jan,Provinsi Sulawesi Tengah,UPT Wil. I Palu,"Sulawesi Tengah, Palu (Kota)",43124046
1018,Belanja Perjalanan Dinas Biasa,9810000,1,26-Jan,Provinsi Sulawesi Tengah,Biro Organisasi Pada Sekretariat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42745909
1019,Belanja Perjalanan Dinas Biasa,18000000,1,26-Jan,Provinsi Sulawesi Tengah,Biro Organisasi Pada Sekretariat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42746369
1020,Belanja Perjalanan Dinas Biasa,996560000,1,26-Mar,Provinsi Sulawesi Tengah,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah","Sulawesi Tengah, Palu (Kota)",42756942
1021,Belanja Perjalanan Dinas Biasa,15150000,1,26-Mar,Provinsi Sulawesi Tengah,Dinas Perhubungan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42758057
1022,Belanja Perjalanan Dinas Biasa,44396000,1,26-Jul,Provinsi Sulawesi Tengah,Dinas Perindustrian dan Perdagangan Provinsi Sulawesi Tengah,"Sulawesi Tengah, Banggai Laut (Kab.) | DKI Jakarta, Jakarta Pusat (Kota)",42803237
1023,Belanja Perjalanan Dinas Biasa,249192000,1,26-Feb,Provinsi Sulawesi Tengah,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah","Sulawesi Tengah, Palu (Kota)",42803942
1024,Belanja Perjalanan Dinas Biasa,132000000,1,26-Jan,Provinsi Sulawesi Tengah,Inspektorat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42808231
1025,Belanja Perjalanan Dinas Biasa,18450000,1,26-Jan,Provinsi Sulawesi Tengah,Inspektorat Daerah Provinsi Sulawesi Tengah,"Sulawesi Tengah, Palu (Kota)",42808236
